Kode Mata Kuliah,Nama Mata Kuliah,Kelas,Sifat Mata Kuliah,Jumlah SKS,Kode Nilai,Nilai Angka,NIM,IP,Semester,Komponen Penilaian,Nilai
SCE61104,Kimia 1,SCE61104/TK/Kuliah/B,W,2,B+,70.22,2211511002,3.48,Ganjil 2022,UTS,72.0
SCE61104,Kimia 1,SCE61104/TK/Kuliah/B,W,2,B+,70.22,2211511002,3.48,Ganjil 2022,UAS,68.46
SCE61103,Matematika 1,SCE61103/TK/Kuliah/B,W,3,B,68.89,2211511002,3.48,Ganjil 2022,UTS,74.0
SCE61103,Matematika 1,SCE61103/TK/Kuliah/B,W,3,B,68.89,2211511002,3.48,Ganjil 2022,UAS,63.8
CCE61101,Pengenalan Teknik Komputer,CCE61101/TK/Kuliah/B,W,2,A,85.53,2211511002,3.48,Ganjil 2022,Kehadiran,92.85
CCE61101,Pengenalan Teknik Komputer,CCE61101/TK/Kuliah/B,W,2,A,85.53,2211511002,3.48,Ganjil 2022,TUGAS-PR,100.0
CCE61101,Pengenalan Teknik Komputer,CCE61101/TK/Kuliah/B,W,2,A,85.53,2211511002,3.48,Ganjil 2022,Presentasi,85.56
CCE61101,Pengenalan Teknik Komputer,CCE61101/TK/Kuliah/B,W,2,A,85.53,2211511002,3.48,Ganjil 2022,UTS,75.0
CCE61101,Pengenalan Teknik Komputer,CCE61101/TK/Kuliah/B,W,2,A,85.53,2211511002,3.48,Ganjil 2022,UAS,90.0
SCE61105,Pengetahuan Lingkungan,SCE61105/TK/Kuliah/B,W,2,B+,71.0,2211511002,3.48,Ganjil 2022,UTS,55.0
SCE61105,Pengetahuan Lingkungan,SCE61105/TK/Kuliah/B,W,2,B+,71.0,2211511002,3.48,Ganjil 2022,TUGAS-PR,85.0
SCE61105,Pengetahuan Lingkungan,SCE61105/TK/Kuliah/B,W,2,B+,71.0,2211511002,3.48,Ganjil 2022,UAS,75.0
CCE62102,Algoritma dan Pemecahan Masalah 1,CCE62102/TK/Kuliah/B,W,2,B,65.07,2211511002,3.44,Genap 2022,TUGAS-PR,82.5
CCE62102,Algoritma dan Pemecahan Masalah 1,CCE62102/TK/Kuliah/B,W,2,B,65.07,2211511002,3.44,Genap 2022,Kehadiran,92.86
CCE62102,Algoritma dan Pemecahan Masalah 1,CCE62102/TK/Kuliah/B,W,2,B,65.07,2211511002,3.44,Genap 2022,UTS,44.0
CCE62102,Algoritma dan Pemecahan Masalah 1,CCE62102/TK/Kuliah/B,W,2,B,65.07,2211511002,3.44,Genap 2022,UAS,56.0
SCE62106,Fisika 2,SCE62106/TK/Kuliah/B,W,3,C,50.5,2211511002,3.44,Genap 2022,KUIS,82.5
SCE62106,Fisika 2,SCE62106/TK/Kuliah/B,W,3,C,50.5,2211511002,3.44,Genap 2022,TUGAS-PR,58.0
SCE62106,Fisika 2,SCE62106/TK/Kuliah/B,W,3,C,50.5,2211511002,3.44,Genap 2022,UTS,30.0
SCE62106,Fisika 2,SCE62106/TK/Kuliah/B,W,3,C,50.5,2211511002,3.44,Genap 2022,UAS,41.0
SCE62108,Matematika 2,SCE62108/TK/Kuliah/B,W,3,A-,78.78,2211511002,3.44,Genap 2022,TUGAS-PR,78.4
SCE62108,Matematika 2,SCE62108/TK/Kuliah/B,W,3,A-,78.78,2211511002,3.44,Genap 2022,KUIS,72.5
SCE62108,Matematika 2,SCE62108/TK/Kuliah/B,W,3,A-,78.78,2211511002,3.44,Genap 2022,UTS,66.0
SCE62108,Matematika 2,SCE62108/TK/Kuliah/B,W,3,A-,78.78,2211511002,3.44,Genap 2022,UAS,96.0
SCE62107,Matematika Diskrit,SCE62107/TK/Kuliah/B,W,3,B+,73.8,2211511002,3.44,Genap 2022,UTS,67.0
SCE62107,Matematika Diskrit,SCE62107/TK/Kuliah/B,W,3,B+,73.8,2211511002,3.44,Genap 2022,TUGAS-PR,75.0
SCE62107,Matematika Diskrit,SCE62107/TK/Kuliah/B,W,3,B+,73.8,2211511002,3.44,Genap 2022,UAS,80.0
CCE62103,Praktikum Algoritma dan Pemecahan Masalah ,CE62103/TK/Prakt/C,W,1,A,83.88,2211511002,3.44,Genap 2022,KUIS,58.57
CCE62103,Praktikum Algoritma dan Pemecahan Masalah ,CE62103/TK/Prakt/C,W,1,A,83.88,2211511002,3.44,Genap 2022,Praktikum,82.57
CCE62103,Praktikum Algoritma dan Pemecahan Masalah ,CE62103/TK/Prakt/C,W,1,A,83.88,2211511002,3.44,Genap 2022,TUGAS-PR,90.0
SCE62109,Probabilitas dan Statistika,SCE62109/TK/Kuliah/B,W,4,A-,77.59,2211511002,3.44,Genap 2022,UAS,65.0
SCE62109,Probabilitas dan Statistika,SCE62109/TK/Kuliah/B,W,4,A-,77.59,2211511002,3.44,Genap 2022,UTS,84.0
SCE62109,Probabilitas dan Statistika,SCE62109/TK/Kuliah/B,W,4,A-,77.59,2211511002,3.44,Genap 2022,TUGAS-PR,90.0
CCE62136,English For Communication,CCE62136/TK.Kuliah/B,W,3,A,83.45,2211511002,2.87,Ganjil 2023,Kehadiran,90.0
CCE62136,English For Communication,CCE62136/TK.Kuliah/B,W,3,A,83.45,2211511002,2.87,Ganjil 2023,UTS,82.0
CCE62136,English For Communication,CCE62136/TK.Kuliah/B,W,3,A,83.45,2211511002,2.87,Ganjil 2023,TUGAS-PR,100.0
CCE62136,English For Communication,CCE62136/TK.Kuliah/B,W,3,A,83.45,2211511002,2.87,Ganjil 2023,UAS,75.0
SCE61111,Fisika 3,SCE61111/TK/Kuliah/B,W,2,B-,62.8,2211511002,2.87,Ganjil 2023,UAS,57.0
SCE61111,Fisika 3,SCE61111/TK/Kuliah/B,W,2,B-,62.8,2211511002,2.87,Ganjil 2023,UTS,29.0
SCE61111,Fisika 3,SCE61111/TK/Kuliah/B,W,2,B-,62.8,2211511002,2.87,Ganjil 2023,TUGAS-PR,90.0
SCE61111,Fisika 3,SCE61111/TK/Kuliah/B,W,2,B-,62.8,2211511002,2.87,Ganjil 2023,Kehadiran,100.0
CCE61106,Jaringan Komputer,CCE61106/TK/Kuliah/B,W,3,A,92.5,2211511002,2.87,Ganjil 2023,UAS,95.0
CCE61106,Jaringan Komputer,CCE61106/TK/Kuliah/B,W,3,A,92.5,2211511002,2.87,Ganjil 2023,UTS,94.0
CCE61106,Jaringan Komputer,CCE61106/TK/Kuliah/B,W,3,A,92.5,2211511002,2.87,Ganjil 2023,Presentasi,90.0
CCE61106,Jaringan Komputer,CCE61106/TK/Kuliah/B,W,3,A,92.5,2211511002,2.87,Ganjil 2023,TUGAS-PR,89.0
SCE61112,Matematika 3,SCE61112/TK/Kuliah/B,W,3,E,40.5,2211511002,2.87,Ganjil 2023,UTS,20.0
SCE61112,Matematika 3,SCE61112/TK/Kuliah/B,W,3,E,40.5,2211511002,2.87,Ganjil 2023,KUIS,20.0
SCE61112,Matematika 3,SCE61112/TK/Kuliah/B,W,3,E,40.5,2211511002,2.87,Ganjil 2023,UAS,50.0
SCE61112,Matematika 3,SCE61112/TK/Kuliah/B,W,3,E,40.5,2211511002,2.87,Ganjil 2023,TUGAS-PR,77.5
CCE61104,Pengantar Analisis Rangkaian,CCE61104/TK/Kuliah/B,W,2,C+,58.35,2211511002,2.87,Ganjil 2023,TUGAS-PR,79.77
CCE61104,Pengantar Analisis Rangkaian,CCE61104/TK/Kuliah/B,W,2,C+,58.35,2211511002,2.87,Ganjil 2023,UTS,48.0
CCE61104,Pengantar Analisis Rangkaian,CCE61104/TK/Kuliah/B,W,2,C+,58.35,2211511002,2.87,Ganjil 2023,KUIS,80.0
CCE61104,Pengantar Analisis Rangkaian,CCE61104/TK/Kuliah/B,W,2,C+,58.35,2211511002,2.87,Ganjil 2023,UAS,40.0
CCE61107,Praktikum Jaringan Komputer,CCE61107/TK/Prakt03,W,1,A,89.22,2211511002,2.87,Ganjil 2023,UAS,92.0
CCE61107,Praktikum Jaringan Komputer,CCE61107/TK/Prakt03,W,1,A,89.22,2211511002,2.87,Ganjil 2023,TUGAS-PR,88.0
CCE61107,Praktikum Jaringan Komputer,CCE61107/TK/Prakt03,W,1,A,89.22,2211511002,2.87,Ganjil 2023,UTS,85.42
CCE61107,Praktikum Jaringan Komputer,CCE61107/TK/Prakt03,W,1,A,89.22,2211511002,2.87,Ganjil 2023,Praktikum,92.0
CCE61109,Praktikum Logika Digital,CCE61109/TK/Prakt04,W,1,A,84.69,2211511002,2.87,Ganjil 2023,Praktikum,84.7
CCE61105,Praktikum Pengantar Analisis Rangkaian,CCE61105/TK/Prakt01,W,1,A-,77.42,2211511002,2.87,Ganjil 2023,Kehadiran,100.0
CCE61105,Praktikum Pengantar Analisis Rangkaian,CCE61105/TK/Prakt01,W,1,A-,77.42,2211511002,2.87,Ganjil 2023,KUIS,49.0
CCE61105,Praktikum Pengantar Analisis Rangkaian,CCE61105/TK/Prakt01,W,1,A-,77.42,2211511002,2.87,Ganjil 2023,TUGAS-PR,95.57
CCE61105,Praktikum Pengantar Analisis Rangkaian,CCE61105/TK/Prakt01,W,1,A-,77.42,2211511002,2.87,Ganjil 2023,Sikap,90.0
CCE61105,Praktikum Pengantar Analisis Rangkaian,CCE61105/TK/Prakt01,W,1,A-,77.42,2211511002,2.87,Ganjil 2023,UAS,50.0
CCE61105,Praktikum Pengantar Analisis Rangkaian,CCE61105/TK/Prakt01,W,1,A-,77.42,2211511002,2.87,Ganjil 2023,Praktikum,91.16
CCE61108,Rangkaian Logika Digital,CCE61108/TK/Kuliah/B,W,3,B-,61.68,2211511002,2.87,Ganjil 2023,UAS,62.0
CCE61108,Rangkaian Logika Digital,CCE61108/TK/Kuliah/B,W,3,B-,61.68,2211511002,2.87,Ganjil 2023,TUGAS-PR,52.41
CCE61108,Rangkaian Logika Digital,CCE61108/TK/Kuliah/B,W,3,B-,61.68,2211511002,2.87,Ganjil 2023,UTS,62.0
CCE61108,Rangkaian Logika Digital,CCE61108/TK/Kuliah/B,W,3,B-,61.68,2211511002,2.87,Ganjil 2023,KUIS,70.0
CCE62117,Keamanan Informasi 1,CCE62117/TK/Kuliah/B,W,2,B+,71.2,2211511002,3.61,Genap 2023,UTS,60.0
CCE62117,Keamanan Informasi 1,CCE62117/TK/Kuliah/B,W,2,B+,71.2,2211511002,3.61,Genap 2023,TUGAS-PR,88.67
CCE62117,Keamanan Informasi 1,CCE62117/TK/Kuliah/B,W,2,B+,71.2,2211511002,3.61,Genap 2023,KUIS,80.0
CCE62117,Keamanan Informasi 1,CCE62117/TK/Kuliah/B,W,2,B+,71.2,2211511002,3.61,Genap 2023,Presentasi,72.0
CCE62117,Keamanan Informasi 1,CCE62117/TK/Kuliah/B,W,2,B+,71.2,2211511002,3.61,Genap 2023,UAS,51.0
CCE62110,Organisasi & Arsitektur Komputer 1,CCE62110/TK/Kuliah/B,W,3,B,69.9,2211511002,3.61,Genap 2023,TUGAS-PR,82.0
CCE62110,Organisasi & Arsitektur Komputer 1,CCE62110/TK/Kuliah/B,W,3,B,69.9,2211511002,3.61,Genap 2023,UTS,75.0
CCE62110,Organisasi & Arsitektur Komputer 1,CCE62110/TK/Kuliah/B,W,3,B,69.9,2211511002,3.61,Genap 2023,UAS,44.0
CCE62110,Organisasi & Arsitektur Komputer 1,CCE62110/TK/Kuliah/B,W,3,B,69.9,2211511002,3.61,Genap 2023,KUIS,80.0
CCE62119,Perancangan Sistem Digital 1,CCE62119/TK/Kuliah/B,W,2,B+,74.5,2211511002,3.61,Genap 2023,TUGAS-PR,85.0
CCE62119,Perancangan Sistem Digital 1,CCE62119/TK/Kuliah/B,W,2,B+,74.5,2211511002,3.61,Genap 2023,UAS,56.0
CCE62119,Perancangan Sistem Digital 1,CCE62119/TK/Kuliah/B,W,2,B+,74.5,2211511002,3.61,Genap 2023,KUIS,76.0
CCE62119,Perancangan Sistem Digital 1,CCE62119/TK/Kuliah/B,W,2,B+,74.5,2211511002,3.61,Genap 2023,UTS,85.0
CCE62111,Praktikum Organisasi & Arsitektur Komputer 1,CCE62111/TK/Prakt/B,W,1,A,80.66,2211511002,3.61,Genap 2023,UAS,76.0
CCE62111,Praktikum Organisasi & Arsitektur Komputer 1,CCE62111/TK/Prakt/B,W,1,A,80.66,2211511002,3.61,Genap 2023,TUGAS-PR,85.33
CCE62111,Praktikum Organisasi & Arsitektur Komputer 1,CCE62111/TK/Prakt/B,W,1,A,80.66,2211511002,3.61,Genap 2023,Praktikum,80.0
CCE62114,Praktikum Rangkaian Listrik,CCE62114/TK/Prakt/A,W,1,A,82.55,2211511002,3.61,Genap 2023,TUGAS-PR,74.08
CCE62114,Praktikum Rangkaian Listrik,CCE62114/TK/Prakt/A,W,1,A,82.55,2211511002,3.61,Genap 2023,KUIS,65.17
CCE62114,Praktikum Rangkaian Listrik,CCE62114/TK/Prakt/A,W,1,A,82.55,2211511002,3.61,Genap 2023,Praktikum,92.5
CCE62114,Praktikum Rangkaian Listrik,CCE62114/TK/Prakt/A,W,1,A,82.55,2211511002,3.61,Genap 2023,Sikap,85.0
CCE62114,Praktikum Rangkaian Listrik,CCE62114/TK/Prakt/A,W,1,A,82.55,2211511002,3.61,Genap 2023,Kehadiran,100.0
CCE62114,Praktikum Rangkaian Listrik,CCE62114/TK/Prakt/A,W,1,A,82.55,2211511002,3.61,Genap 2023,UAS,79.5
CCE62113,Rangkaian Listrik,CCE62113/TK/Kuliah/B,W,2,B+,73.59,2211511002,3.61,Genap 2023,KUIS,65.0
CCE62113,Rangkaian Listrik,CCE62113/TK/Kuliah/B,W,2,B+,73.59,2211511002,3.61,Genap 2023,UTS,62.0
CCE62113,Rangkaian Listrik,CCE62113/TK/Kuliah/B,W,2,B+,73.59,2211511002,3.61,Genap 2023,TUGAS-PR,90.0
CCE62113,Rangkaian Listrik,CCE62113/TK/Kuliah/B,W,2,B+,73.59,2211511002,3.61,Genap 2023,UAS,80.0
CCE62118,Sistem Basis Data,CCE62118/TK/Kuliah/B,W,2,A,80.72,2211511002,3.61,Genap 2023,Kehadiran,100.0
CCE62118,Sistem Basis Data,CCE62118/TK/Kuliah/B,W,2,A,80.72,2211511002,3.61,Genap 2023,TUGAS-PR,77.5
CCE62118,Sistem Basis Data,CCE62118/TK/Kuliah/B,W,2,A,80.72,2211511002,3.61,Genap 2023,UTS,70.0
CCE62118,Sistem Basis Data,CCE62118/TK/Kuliah/B,W,2,A,80.72,2211511002,3.61,Genap 2023,Presentasi,73.0
CCE62118,Sistem Basis Data,CCE62118/TK/Kuliah/B,W,2,A,80.72,2211511002,3.61,Genap 2023,UAS,82.0
CCE62115,Sistem Operasi,CCE62115/TK/Kuliah/B,W,2,B+,73.25,2211511002,3.61,Genap 2023,TUGAS-PR,75.0
CCE62115,Sistem Operasi,CCE62115/TK/Kuliah/B,W,2,B+,73.25,2211511002,3.61,Genap 2023,UTS,70.0
CCE62115,Sistem Operasi,CCE62115/TK/Kuliah/B,W,2,B+,73.25,2211511002,3.61,Genap 2023,KUIS,77.0
CCE62115,Sistem Operasi,CCE62115/TK/Kuliah/B,W,2,B+,73.25,2211511002,3.61,Genap 2023,UAS,72.0
CCE62116,Sistem Tertanam 1,CCE62116/TK/Kuliah/B,W,2,A-,75.83,2211511002,3.61,Genap 2023,TUGAS-PR,71.67
CCE62116,Sistem Tertanam 1,CCE62116/TK/Kuliah/B,W,2,A-,75.83,2211511002,3.61,Genap 2023,UTS,60.0
CCE62116,Sistem Tertanam 1,CCE62116/TK/Kuliah/B,W,2,A-,75.83,2211511002,3.61,Genap 2023,KUIS,80.0
CCE62116,Sistem Tertanam 1,CCE62116/TK/Kuliah/B,W,2,A-,75.83,2211511002,3.61,Genap 2023,Presentasi,80.0
CCE62116,Sistem Tertanam 1,CCE62116/TK/Kuliah/B,W,2,A-,75.83,2211511002,3.61,Genap 2023,Tugas Besar,90.0
CCE62112,Struktur Data,CCE62112/TK/Kuliah/B,W,2,A,81.76,2211511002,3.61,Genap 2023,Kehadiran,92.86
CCE62112,Struktur Data,CCE62112/TK/Kuliah/B,W,2,A,81.76,2211511002,3.61,Genap 2023,TUGAS-PR,86.83
CCE62112,Struktur Data,CCE62112/TK/Kuliah/B,W,2,A,81.76,2211511002,3.61,Genap 2023,UTS,95.0
CCE62112,Struktur Data,CCE62112/TK/Kuliah/B,W,2,A,81.76,2211511002,3.61,Genap 2023,UAS,56.0
ECS60208,Cloud Computing,ECS60208/TK/Kuliah/B,P,2,A,83.29,2211511002,3.82,Ganjil 2024,UTS,78.65
ECS60208,Cloud Computing,ECS60208/TK/Kuliah/B,P,2,A,83.29,2211511002,3.82,Ganjil 2024,TUGAS-PR,78.0
ECS60208,Cloud Computing,ECS60208/TK/Kuliah/B,P,2,A,83.29,2211511002,3.82,Ganjil 2024,Tugas Besar,90.0
ECS60208,Cloud Computing,ECS60208/TK/Kuliah/B,P,2,A,83.29,2211511002,3.82,Ganjil 2024,UAS,87.0
CCE61126,Elektronika,CCE61126/TK/Kuliah/B,W,2,A-,79.5,2211511002,3.82,Ganjil 2024,UAS,90.0
CCE61126,Elektronika,CCE61126/TK/Kuliah/B,W,2,A-,79.5,2211511002,3.82,Ganjil 2024,UTS,70.0
CCE61126,Elektronika,CCE61126/TK/Kuliah/B,W,2,A-,79.5,2211511002,3.82,Ganjil 2024,TUGAS-PR,80.0
CCE61126,Elektronika,CCE61126/TK/Kuliah/B,W,2,A-,79.5,2211511002,3.82,Ganjil 2024,Tugas Besar,80.0
CCE61128,Keamanan Informasi 2,CCE61128/TK/Kuliah/B,W,2,A,81.09,2211511002,3.82,Ganjil 2024,UTS,90.0
CCE61128,Keamanan Informasi 2,CCE61128/TK/Kuliah/B,W,2,A,81.09,2211511002,3.82,Ganjil 2024,TUGAS-PR,78.0
CCE61128,Keamanan Informasi 2,CCE61128/TK/Kuliah/B,W,2,A,81.09,2211511002,3.82,Ganjil 2024,KUIS,78.25
CCE61128,Keamanan Informasi 2,CCE61128/TK/Kuliah/B,W,2,A,81.09,2211511002,3.82,Ganjil 2024,Presentasi,74.33
CCE61128,Keamanan Informasi 2,CCE61128/TK/Kuliah/B,W,2,A,81.09,2211511002,3.82,Ganjil 2024,UAS,82.0
AND60102,Kewirausahaan,AND60102/TK/Kuliah/B,W,3,A-,78.36,2211511002,3.82,Ganjil 2024,UTS,80.0
AND60102,Kewirausahaan,AND60102/TK/Kuliah/B,W,3,A-,78.36,2211511002,3.82,Ganjil 2024,TUGAS-PR,79.33
AND60102,Kewirausahaan,AND60102/TK/Kuliah/B,W,3,A-,78.36,2211511002,3.82,Ganjil 2024,UAS,75.0
CCE61123,Organisasi & Arsitektur Komputer 2,CCE61123/TK/Kuliah/B,W,3,A,81.25,2211511002,3.82,Ganjil 2024,UTS,80.0
CCE61123,Organisasi & Arsitektur Komputer 2,CCE61123/TK/Kuliah/B,W,3,A,81.25,2211511002,3.82,Ganjil 2024,UAS,82.0
CCE61123,Organisasi & Arsitektur Komputer 2,CCE61123/TK/Kuliah/B,W,3,A,81.25,2211511002,3.82,Ganjil 2024,TUGAS-PR,81.0
CCE61123,Organisasi & Arsitektur Komputer 2,CCE61123/TK/Kuliah/B,W,3,A,81.25,2211511002,3.82,Ganjil 2024,KUIS,82.0
CCE61124,Praktikum Organisasi & Arsitektur Komputer 2,CCE61124/TK/Prakt/A,W,1,B+,72.66,2211511002,3.82,Ganjil 2024,Praktikum,83.67
CCE61124,Praktikum Organisasi & Arsitektur Komputer 2,CCE61124/TK/Prakt/A,W,1,B+,72.66,2211511002,3.82,Ganjil 2024,TUGAS-PR,83.0
CCE61124,Praktikum Organisasi & Arsitektur Komputer 2,CCE61124/TK/Prakt/A,W,1,B+,72.66,2211511002,3.82,Ganjil 2024,UTS,40.0
CCE61124,Praktikum Organisasi & Arsitektur Komputer 2,CCE61124/TK/Prakt/A,W,1,B+,72.66,2211511002,3.82,Ganjil 2024,UAS,20.0
CCE61122,Praktikum Sistem Tertanam ,CCE61122/TK/Prakt/D,W,1,A,83.17,2211511002,3.82,Ganjil 2024,TUGAS-PR,96.86
CCE61122,Praktikum Sistem Tertanam ,CCE61122/TK/Prakt/D,W,1,A,83.17,2211511002,3.82,Ganjil 2024,KUIS,57.14
CCE61122,Praktikum Sistem Tertanam ,CCE61122/TK/Prakt/D,W,1,A,83.17,2211511002,3.82,Ganjil 2024,Praktikum,84.6
CCE61122,Praktikum Sistem Tertanam ,CCE61122/TK/Prakt/D,W,1,A,83.17,2211511002,3.82,Ganjil 2024,Sikap,97.14
CCE61122,Praktikum Sistem Tertanam ,CCE61122/TK/Prakt/D,W,1,A,83.17,2211511002,3.82,Ganjil 2024,UAS,81.7
